"id","company_id","provider_id","name","fullname","has_wifi","has_plug","has_adjustable_seats","has_bicycle","transport_type"
9,1,,"ouibus","Ouibus",TRUE,TRUE,TRUE,FALSE,"bus"
10,2,,"deinbus","Deinbus.de",FALSE,FALSE,FALSE,FALSE,"bus"
11,3,,"infobus","Infobus",FALSE,FALSE,FALSE,FALSE,"bus"
12,4,,"studentAgency","Student Agency",FALSE,FALSE,FALSE,FALSE,"bus"
13,5,,"flixbus","Flixbus",TRUE,FALSE,FALSE,FALSE,"bus"
14,6,,"driivme","DriiveMe",FALSE,FALSE,FALSE,FALSE,"car"
15,8,,"alsa","Alsa",FALSE,FALSE,FALSE,FALSE,"bus"
16,9,,"distribusion","Distribusion",FALSE,FALSE,FALSE,FALSE,"bus"
17,9,"31","expressbusMunchen","Expressbus Munchen",FALSE,FALSE,FALSE,FALSE,"bus"
18,9,"33","berlinLinienBus","Berlin Linien Bus",FALSE,FALSE,FALSE,FALSE,"bus"
19,9,"37","ostfrieslandexpress","OstfrieslandExpress",FALSE,FALSE,FALSE,FALSE,"bus"
20,9,"41","icBus","IC Bus",FALSE,FALSE,FALSE,FALSE,"bus"
21,9,"45","busandfly","Busandfly",FALSE,FALSE,FALSE,FALSE,"bus"
22,9,"47","publicexpress","Publicexpress",FALSE,FALSE,FALSE,FALSE,"bus"
23,9,"49","hahnExpress","Hahn Express",FALSE,FALSE,FALSE,FALSE,"bus"
24,9,"57","regionalverkehrErzgebirge","Regionalverkehr Erzgebirge",FALSE,FALSE,FALSE,FALSE,"bus"
25,9,"65","autobusoberbayern","AutobusOberbayern",FALSE,FALSE,FALSE,FALSE,"bus"
26,9,"77","schillingOmnibusverkehr","Schilling Omnibusverkehr",FALSE,FALSE,FALSE,FALSE,"bus"
27,9,"81","kraftReisen","Kraft Reisen",FALSE,FALSE,FALSE,FALSE,"bus"
28,9,"83","mayerMayer","Mayer  Mayer",FALSE,FALSE,FALSE,FALSE,"bus"
29,9,"85","ecolines","ECOLINES",FALSE,FALSE,FALSE,FALSE,"bus"
30,9,"111","vogtlandFernbus","Vogtland Fernbus",FALSE,FALSE,FALSE,FALSE,"bus"
31,9,"115","orlandREISEN","ORLAND REISEN",FALSE,FALSE,FALSE,FALSE,"bus"
32,9,"129","postbus","Postbus",FALSE,FALSE,FALSE,FALSE,"bus"
